index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db
49,Sub Vault / MUTANT,ROUND,MUTANT,1,1,0.922571,0.107691,9.19845,0.00208333,1.24045e-09,-6.29478,-4.37288,-6.83797,-10.3396,-15.2665,-15.1647,-0.291927,-5.20469,0.75,-96.6749,-3.66086e-08,45.4883
50,Clean Attack,PUNCH,CORE,1,1,0.922571,0.0671,13.0652,0.0416667,-1.36419e-07,-6.03495,-5.21697,-11.0483,-22.9777,-39.7962,-19.59,-10.5338,-28.3108,0.580556,-300,-1.51821e-23,100.304
51,Pressure Point,PUNCH,CORE,1,1,0.922571,0.0660963,13.1962,0.0270833,-5.68706e-08,-5.86198,-5.64474,-11.0428,-22.5224,-36.6998,-19.8777,-9.445,-24.6478,0.536111,-300,1.74525e-20,127.508
52,Warehouse Knock,PUNCH,CORE,1,1,0.922571,0.0688104,12.8468,0.0604167,-2.39602e-07,-5.77145,-5.01422,-10.9781,-22.0745,-35.8036,-18.7176,-9.01328,-23.95,1.09167,-300,8.6364e-20,132.277
53,Fast Driver,PUNCH,CORE,1,1,0.922571,0.0705613,12.6284,0.0645833,-2.5784e-07,-5.83243,-5.01029,-10.2322,-21.1729,-36.0744,-18.8189,-9.40657,-25.1153,1.08056,-300,-8.27927e-22,120.181
54,Techno Nail,PUNCH,CORE,1,1,0.922571,0.0688792,12.8381,0.0395833,-1.17862e-07,-5.79996,-5.34987,-10.4118,-21.5509,-35.6274,-19.3024,-9.35093,-24.3231,0.655556,-300,1.26193e-20,128.337
55,Needle Punch,PUNCH,CORE,1,1,0.922571,0.0703546,12.6549,0.025,-4.73419e-08,-5.98576,-5.43605,-9.97537,-19.5273,-31.1566,-19.0169,-8.06879,-20.4835,0.563889,-293.072,7.58783e-18,149.72
56,Front Row,PUNCH,CORE,1,1,0.922571,0.0657614,13.2412,0.0125,-1.4956e-08,-6.02249,-5.89385,-11.0496,-20.73,-32.7516,-19.6362,-8.33144,-21.216,0.463889,-288.566,3.46793e-17,145.867
57,Steel Toe,PUNCH,CORE,1,1,0.922571,0.071403,12.5263,0.06875,-3.08472e-07,-5.70103,-5.05684,-10.1958,-19.9489,-32.0716,-18.2991,-8.29003,-21.1419,1.08611,-290.69,3.13044e-17,147.68
58,Impact Driver,PUNCH,CORE,1,1,0.922571,0.0667188,13.1148,0.00416667,-8.86484e-09,-6.13553,-5.75282,-10.45,-21.7582,-36.606,-20.2857,-9.40496,-25.2557,0.505556,-300,3.01977e-22,115.047
